transaction_id,customer_id,transaction_date,transaction_time,customer_age_group,customer_location_city,customer_location_state,zip_code,membership_tier,product_category,product_name,quantity,unit_price,total_amount,payment_method,transaction_month,transaction_quarter,transaction_year,month_year,day_of_week,customer_first_purchase_date,days_since_first_purchase
TXN001720,CUST00752,2024-07-01,10:54,26-35,Denver,CO,78982,Standard,Concentrates,Live Resin 1g,1,50.43,50.43,Debit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN001721,CUST00752,2024-07-01,18:06,26-35,Denver,CO,54113,Gold,Concentrates,Live Resin 1g,1,52.21,52.21,Digital Wallet,7,3,2024,2024-07,Monday,2024-07-01,0
TXN006260,CUST01168,2024-07-01,17:25,18-25,San Diego,CA,59454,Platinum,Vapes,Hybrid Cart 0.5g,1,35.91,35.91,Debit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN019700,CUST00331,2024-07-01,14:14,36-45,San Francisco,CA,81218,Standard,Concentrates,Shatter 1g,1,46.08,46.08,Digital Wallet,7,3,2024,2024-07,Monday,2024-07-01,0
TXN019701,CUST00331,2024-07-01,15:45,36-45,San Francisco,CA,42460,Standard,Concentrates,Live Resin 1g,1,48.51,48.51,Digital Wallet,7,3,2024,2024-07,Monday,2024-07-01,0
TXN019702,CUST00331,2024-07-01,11:46,36-45,San Francisco,CA,66935,Standard,Concentrates,Shatter 1g,1,44.63,44.63,Cash,7,3,2024,2024-07,Monday,2024-07-01,0
TXN020060,CUST00705,2024-07-01,18:26,18-25,Tucson,AZ,74109,Gold,Concentrates,Distillate 1g,2,56.86,113.72,Debit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN022950,CUST01082,2024-07-01,10:54,46-55,San Francisco,CA,16616,Silver,Flower,Wedding Cake,1,46.65,46.65,Digital Wallet,7,3,2024,2024-07,Monday,2024-07-01,0
TXN022951,CUST01082,2024-07-01,15:54,46-55,San Francisco,CA,70245,Silver,Vapes,Live Resin Cart 0.5g,1,45.47,45.47,Debit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN031280,CUST00229,2024-07-01,14:01,36-45,Las Vegas,NV,73942,Gold,Concentrates,Wax 1g,1,49.71,49.71,Debit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN031281,CUST00229,2024-07-01,15:18,36-45,Las Vegas,NV,36371,Gold,Vapes,Sativa Cart 0.5g,3,34.91,104.72999999999999,Debit Card,7,3,2024,2024-07,Monday,2024-07-01,0
TXN033030,CUST00585,2024-07-01,13:52,26-35,Los Angeles,CA,91569,Silver,Edibles,Mints 50mg,1,14.36,14.36,Cash,7,3,2024,2024-07,Monday,2024-07-01,0
TXN033031,CUST00585,2024-07-01,14:04,26-35,Los Angeles,CA,20718,Silver,Flower,Gelato,1,45.42,45.42,Digital Wallet,7,3,2024,2024-07,Monday,2024-07-01,0
TXN033400,CUST00800,2024-07-01,11:10,56+,Phoenix,AZ,33429,Platinum,Concentrates,Live Resin 1g,1,49.79,49.79,Digital Wallet,7,3,2024,2024-07,Monday,2024-07-01,0
